id,movies_name,year,timing_min,rating_10,votes,genre,language
tt0281721,Chottanikkara Amma,1976,,6.6,8.0,drama,malayalam
tt0250759,Sutradhaarulu,1990,,8.1,55.0,"drama, musical",telugu
tt3672760,Butter & Cheese,2014,,6.27478459199189,42.0,"short, family",nepali
tt1580704,That Girl in Yellow Boots,2010,,6.6,3574.0,"crime, drama, mystery",kannada
tt14492938,Aanamuttathe Aangalamar,2000,,6.27478459199189,42.0,"comedy, drama",malayalam
tt0370808,Jhankar,1942,,6.27478459199189,42.0,drama,hindi
tt0333636,Ira Thedunna Manushyar,1981,,6.27478459199189,42.0,drama,malayalam
tt1081913,Aideu,2007,,6.27478459199189,42.0,drama,assamese
tt0203289,American Desi,2001,,6.6,1583.0,"comedy, drama, romance",hindi
tt2548030,Chettayees,2012,,4.7,134.0,family,malayalam
tt0352162,Ambalakkara Panchayath,1988,,6.27478459199189,42.0,drama,malayalam
tt5994746,Supportive Men,,,6.27478459199189,42.0,"documentary, short, family",nepali
tt11423262, Alif Laila,,,6.27478459199189,42.0,"adventure, fantasy",urdu
tt14361576,Poila April,2021,,6.27478459199189,42.0,drama,bengali
tt0406556,Bachelor Husband,1950,,6.27478459199189,42.0,drama,hindi
tt0156852,Oru Nadigai Natakam Pakiral,1978,,6.2,12.0,drama,tamil
tt1305021,Dunia Gol Hai,1974,,6.27478459199189,42.0,drama,urdu
tt4209790,Chalta Purza,1958,,6.27478459199189,42.0,fantasy,hindi
tt6588966,Hichki,2018,,7.5,10905.0,"comedy, drama",hindi
tt0363777,Lover Boy,1985,,4.1,19.0,"drama, romance",hindi
tt0962716,Babul,1986,,4.8,9.0,drama,hindi
tt7683212,Babu,2020,,6.27478459199189,42.0,"short, drama",nepali
tt9725092,Swabhimaan,2019,,6.27478459199189,42.0,drama,gujarati
tt0214941,Meera,1947,,7.7,14.0,drama,hindi
tt0314566,Red Indians,2001,,4.7,15.0,drama,malayalam
tt1319643,Navabharata,1988,,6.27478459199189,42.0,drama,kannada
tt11102314,Tribhanga,2021,,6.1,2406.0,"drama, family",hindi
tt13980542,Sri Bannari Amman,2002,,6.27478459199189,42.0,drama,tamil
tt13212228,Dear Love,,,6.27478459199189,42.0,drama,nepali
tt13057554,Apoorva Mahaan,2015,,6.27478459199189,42.0,drama,tamil
tt11543304,Haidar Sultan,1982,,6.27478459199189,42.0,"action, drama",punjabi
tt11536276,3 Monkeys,2020,,6.5,82.0,drama,telugu
tt6650364,Carbon,,,6.9,1115.0,"adventure, thriller",malayalam
tt0277061,Kaapalika,1973,,7.8,5.0,drama,malayalam
tt1339453,Karunamayi,1987,,6.27478459199189,42.0,drama,kannada
tt4417674,Aag aur Angaray,1990,,6.27478459199189,42.0,action,hindi
tt10626550,Athmasakhi,,,6.27478459199189,42.0,drama,malayalam
tt13086918,Vachikava,2014,,6.27478459199189,42.0,drama,tamil
